lsoa11cd,rank,decile
W01000746,448,3
W01000747,643,4
W01000749,660,4
W01000750,496,3
W01000751,1714,9
W01000752,297,2
W01000753,697,4
W01000754,766,5
W01000755,861,5
W01000756,229,2
W01000757,775,5
W01000758,1163,7
W01000759,1539,9
W01000760,624,4
W01000761,724,4
W01000762,207,2
W01000763,649,4
W01000764,732,4
W01000765,719,4
W01000766,1057,6
W01000767,417,3
W01000768,1501,8
W01000769,1797,10
W01000770,1808,10
W01000771,1516,8
W01000772,1718,9
W01000773,762,4
W01000774,1030,6
W01000775,1513,8
W01000776,1611,9
W01000777,1722,10
W01000778,1525,8
W01000779,1147,7
W01000781,1897,10
W01000782,1757,10
W01000784,1469,8
W01000785,1851,10
W01000786,1636,9
W01000787,490,3
W01000788,230,2
W01000789,276,2
W01000790,363,2
W01000791,1749,10
W01000792,1806,10
W01000793,1765,10
W01000794,1118,6
W01000795,1547,9
W01000796,1533,9
W01000797,1431,8
W01000798,1091,6
W01000799,386,3
W01000800,1664,9
W01000801,179,1
W01000802,966,6
W01000803,1029,6
W01000804,1858,10
W01000805,1906,10
W01000806,1088,6
W01000807,1618,9
W01000808,1271,7
W01000809,686,4
W01000810,95,1
W01000811,309,2
W01000812,154,1
W01000813,1250,7
W01000814,205,2
W01000815,1570,9
W01000816,1677,9
W01000817,37,1
W01000818,467,3
W01000819,1589,9
W01000820,1021,6
W01000821,859,5
W01000822,1230,7
W01000823,1905,10
W01000824,1801,10
W01000825,1719,9
W01000826,1760,10
W01000827,1826,10
W01000828,1667,9
W01000829,1255,7
W01000830,31,1
W01000831,147,1
W01000832,22,1
W01000833,48,1
W01000834,201,2
W01000835,157,1
W01000836,279,2
W01000837,1845,10
W01000838,419,3
W01000839,1781,10
W01000840,1898,10
W01000841,842,5
W01000842,1388,8
W01000843,1405,8
W01000844,305,2
W01000845,1653,9
W01000846,820,5
W01000847,964,6
W01000848,374,2
W01000849,269,2
W01000850,484,3
W01000851,811,5
W01000852,749,4
W01000853,1751,10
W01000854,1838,10
W01000855,1788,10
W01000856,382,2
W01000857,905,5
W01000858,1784,10
W01000859,1729,10
W01000860,1881,10
W01000861,1754,10
W01000862,18,1
W01000863,16,1
W01000864,32,1
W01000865,362,2
W01000866,41,1
W01000867,58,1
W01000868,1783,10
W01000869,868,5
W01000870,1541,9
W01000871,774,5
W01000872,1790,10
W01000873,1298,7
W01000874,1593,9
W01000875,1072,6
W01000876,1346,8
W01000877,1530,9
W01000878,1330,7
W01000879,1893,10
W01000880,1750,10
W01000881,461,3
W01000882,591,4
W01000883,1407,8
W01000884,122,1
W01000885,129,1
W01000886,44,1
W01000887,735,4
W01000888,1227,7
W01000889,1133,6
W01000890,1802,10
W01000891,783,5
W01000892,1456,8
W01000893,559,3
W01000894,708,4
W01000895,233,2
W01000896,25,1
W01000897,263,2
W01000898,909,5
W01000899,1568,9
W01000900,244,2
W01000901,628,4
W01000902,1350,8
W01000903,1766,10
W01000904,1853,10
W01000905,1336,7
W01000906,1475,8
W01000907,446,3
W01000908,1567,9
W01000909,809,5
W01000910,1549,9
W01000911,1630,9
W01000912,621,4
W01000913,692,4
W01000914,212,2
